"","estacao_cetesb","poluente","data","concentracao"
"118","Pinheiros","CO",2017-04-28,0.1875
"119","Pinheiros","CO",2017-04-29,0.170833333333333
"120","Pinheiros","CO",2017-04-30,0.166666666666667
"121","Pinheiros","CO",2017-05-01,0.191666666666667
"122","Pinheiros","CO",2017-05-02,0.5
"123","Pinheiros","CO",2017-05-03,0.570833333333333
"124","Pinheiros","CO",2017-05-04,0.8125
"125","Pinheiros","CO",2017-05-05,0.925
"126","Pinheiros","CO",2017-05-06,0.416666666666667
"127","Pinheiros","CO",2017-05-07,0.19
"128","Pinheiros","CO",2017-05-08,0.525
"129","Pinheiros","CO",2017-05-09,0.925
"130","Pinheiros","CO",2017-05-10,0.291666666666667
"131","Pinheiros","CO",2017-05-11,0.409090909090909
"132","Pinheiros","CO",2017-05-12,0.558333333333333
"133","Pinheiros","CO",2017-05-13,0.729166666666667
"134","Pinheiros","CO",2017-05-14,0.304166666666667
"135","Pinheiros","CO",2017-05-15,0.3
"136","Pinheiros","CO",2017-05-16,0.225
"137","Pinheiros","CO",2017-05-17,0.2625
"138","Pinheiros","CO",2017-05-18,0.395833333333333
"139","Pinheiros","CO",2017-05-19,0.795833333333333
"140","Pinheiros","CO",2017-05-20,0.566666666666667
"141","Pinheiros","CO",2017-05-21,0.627777777777778
"142","Pinheiros","CO",2017-05-22,0.354166666666667
"143","Pinheiros","CO",2017-05-23,0.295833333333333
"144","Pinheiros","CO",2017-05-24,1.12083333333333
"145","Pinheiros","CO",2017-05-25,1.7125
"146","Pinheiros","CO",2017-05-26,1.8125
"147","Pinheiros","CO",2017-05-27,1.0875
"148","Pinheiros","CO",2017-05-28,0.55
"149","Pinheiros","CO",2017-05-29,1.15909090909091
"150","Pinheiros","CO",2017-05-30,0.6375
"151","Pinheiros","CO",2017-05-31,0.841666666666667
"152","Pinheiros","CO",2017-06-01,0.5375
"153","Pinheiros","CO",2017-06-02,0.4
"154","Pinheiros","CO",2017-06-03,0.391666666666667
"155","Pinheiros","CO",2017-06-04,0.729166666666667
"156","Pinheiros","CO",2017-06-05,0.933333333333333
"157","Pinheiros","CO",2017-06-06,1.3
"158","Pinheiros","CO",2017-06-07,1.3375
